pmid	year	count	title	otherid
4899405	2016	1	A distributed query execution engine of big attributed graphs	27350905
4937193	2016	1	Characterizing gene sets using discriminative random walks with restart on heterogeneous biological networks	27153592
4271144	2015	1	BalestraWeb: efficient online evaluation of drug&#x2013;target interactions	25192741
