pmid	year	journal	title
24748432	2014	Mol. Biol. Rep.	Interaction network analysis revealed biomarkers in myocardial infarction.
22115179	2011	BMC Bioinformatics	iRefR: an R package to manipulate the iRefIndex consolidated protein interaction database.
