pmid	author	order
27888796	Ling_Gao	3
27888796	Jun-Yu_Zhang	4
27888796	Hai-Tao_Pan	5
27888796	Hui_Wang	6
27888796	Cheng_Li	7
27888796	Ping_Zhang	8
27888796	Meng-Xi_Guo	9
27888796	Yan-Ting_Wu	10
27888796	Ya-Jing_Tan	11
27888796	Li_Jin	12
27888796	Yu-Qian_Xiang	13
27888796	Ju-Xue_Li	14
27888796	Jian-Zhong_Sheng	15
27888796	He-Feng_Huang	16
27880890	Juan_Li	1
27880890	Shu-Xiao_Zhang	2
27880890	Wei_Wang	3
27880890	Ke_Cheng	4
27880890	Hua_Guo	5
27880890	Cheng-Long_Rao	6
27880890	De-Yu_Yang	7
27880890	Yong_He	8
27880890	De-Zhi_Zou	9
27880890	Yu_Han	10
27880890	Li-Bo_Zhao	11
27880890	Peng-Fei_Li	12
27880890	Peng_Xie	13
27876019	Fatemeh_Kaveh	1
27876019	Lars_O_Baumbusch	2
27876019	Daniel_Nebdal	3
27876019	Anne-Lise_Børresen-Dale	4
27876019	Ole_Christian_Lingjærde	5
27876019	Hege_Edvardsen	6
27876019	Vessela_N_Kristensen	7
27876019	Hiroko_K_Solvang	8
27875983	Xi_Lan	1
27875983	John_C_F_Hsieh	2
27875983	Carl_J_Schmidt	3
27875983	Qing_Zhu	4
27875983	Susan_J_Lamont	5
27875309	Zariel_I_Johnson	1
27875309	Irving_M_Shapiro	2
27875309	Makarand_V_Risbud	3
27871310	Rita_M_C_de_Almeida	1
27871310	Sherry_G_Clendenon	2
27871310	William_G_Richards	3
27871310	Michael_Boedigheimer	4
27871310	Michael_Damore	5
27871310	Sandro_Rossetti	6
27871310	Peter_C_Harris	7
27871310	Britney-Shea_Herbert	8
27871310	Wei_Min_Xu	9
27871310	Angela_Wandinger-Ness	10
27871310	Heather_H_Ward	11
27871310	James_A_Glazier	12
27871310	Robert_L_Bacallao	13
27867936	Amit_Anand	1
27867936	Jeanette_N_McClintick	2
27867936	Jill_Murrell	3
27867936	Harish_Karne	4
27867936	John_I_Nurnberger	5
27867936	Howard_J_Edenberg	6
27862217	Carol_Py_Lau	1
27862217	Jamie_Sl_Kwok	2
27862217	Joseph_Cc_Tsui	3
27862217	Lin_Huang	4
27862217	Kevin_Y_Yang	5
27862217	Stephen_Kw_Tsui	6
27862217	Shekhar_Madhukar_Kumta	7
27857231	Xianli_Wang	1
27857231	Chuanming_Dong	2
27857231	Lixin_Sun	3
27857231	Liang_Zhu	4
27857231	Chenxi_Sun	5
27857231	Rongjie_Ma	6
27857231	Ke_Ning	7
27857231	Bing_Lu	8
27857231	Jinfu_Zhang	9
27857231	Jun_Xu	10
27856519	Katre_Maasalu	1
27856519	Ott_Laius	2
27856519	Lidiia_Zhytnik	3
27856519	Sulev_Kõks	4
27856519	Ele_Prans	5
27856519	Ene_Reimann	6
27856519	Aare_Märtson	7
27855634	Ana_Rubin	1
27855634	Anna_C_Salzberg	2
27855634	Yuka_Imamura	3
27855634	Anzor_Grivitishvilli	4
