pmid	author	order
26788238	Adil_Aitsakel	1
26788238	Hachem_Elsayegh	2
26788238	Lounis_Benslimane	3
26788238	Yassine_Nouini	4
26767175	B_Velayutham	1
26767175	D_Nair	2
26767175	S_Ramalingam	3
26767175	C_M_Perez-Velez	4
26767175	M_C_Becerra	5
26767175	S_Swaminathan	6
26750162	S_T_Ashur	1
26750162	K_Shamsuddin	2
26750162	S_A_Shah	3
26750162	S_Bosseri	4
26750162	D_E_Morisky	5
26715781	Artemis_Diamantouros	1
26715781	Romina_Marchesano	2
26715781	Grace_Rzyczniak	3
26715781	Brian_Hardy	4
26668441	Sandra_da_Silva_Mattos	1
26668441	Sheila_Maria_Vieira_Hazin	2
26668441	Cláudio_Teixeira_Regis	3
26668441	Juliana_Sousa_Soares_de_Araújo	4
26668441	Fernanda_Cruz_de_Lira_Albuquerque	5
26668441	Lúcia_Roberta_Didier_Nunes_Moser	6
26668441	Thamine_de_Paula_Hatem	7
26668441	Carolina_Paim_Gomes_de_Freitas	8
26668441	Felipe_Alves_Mourato	9
26668441	Thiago_Ribeiro_Tavares	10
26668441	Renata_Grigório_Silva_Gomes	11
26668441	Rossana_Severi	12
26668441	Cícera_Rocha_Santos	13
26668441	Jailson_Ferreira_da_Silva	14
26668441	Juliana_Landim_Rezende	15
26668441	Paulo_Coelho_Vieira	16
26668441	José_Luiz_de_Lima_Filho	17
26668438	Theodoor_Visser	1
26668438	Jennifer_Daily	2
26668438	Nora_Hotte	3
26668438	Caitlin_Dolkart	4
26668438	Jane_Cunningham	5
26668438	Prashant_Yadav	6
26668437	Emily_Savell	1
26668437	Anna_B_Gilmore	2
26668437	Michelle_Sims	3
26668437	Prem_K_Mony	4
26668437	Teo_Koon	5
26668437	Khalid_Yusoff	6
26668437	Scott_A_Lear	7
26668437	Pamela_Seron	8
26668437	Noorhassim_Ismail	9
26668437	K_Burcu_Tumerdem_Calik	10
26668437	Annika_Rosengren	11
26668437	Ahmad_Bahonar	12
26668437	Rajesh_Kumar	13
26668437	Krishnapillai_Vijayakumar	14
26668437	Annamarie_Kruger	15
26668437	Hany_Swidan	16
26668437	Rajeev_Gupta	17
26668437	Ehimario_Igumbor	18
26668437	Asad_Afridi	19
26668437	Omar_Rahman	20
26668437	Jephat_Chifamba	21
26668437	Katarzyna_Zatonska	22
26668437	V_Mohan	23
26668437	Deepa_Mohan	24
26668437	Patricio_Lopez-Jaramillo	25
26668437	Alvaro_Avezum	26
26668437	Paul_Poirier	27
26668437	Andres_Orlandini	28
26668437	Wei_Li	29
26668437	Martin_McKee	30
26668437	Sumathy_Rangarajan	31
26668437	Salim_Yusuf	32
26668437	Clara_K_Chow	33
26637088	Marie-Andrée_Harvey	1
26637088	Marianne_Pierce	2
26637088	Jens-Erik_W_Alter	3
26637088	Queena_Chou	4
